"baseMean.AR" "log2FoldChange.AR" "lfcSE.AR" "stat.AR" "pvalue.AR" "padj.AR" "baseMean.HOX" "log2FoldChange.HOX" "lfcSE.HOX" "stat.HOX" "pvalue.HOX" "padj.HOX"
"ACAD8" 1541.02043631235 0.317145162136516 0.107823963695282 2.94132353576603 0.0032681299128709 0.0196100216398681 12.2721293337091 0.867115483252556 0.426078988454787 2.03510500810478 0.0418403081897619 0.19387211768963
"ACAD9" 3629.1826152784 0.123285717904915 0.0681868440220695 1.80805725317061 0.0705975902810328 0.207441378359806 28.1310786512873 0.21214411013358 0.277710028629283 0.763905110595673 0.444923791679395 0.763107359209732
"ACADL" 10.262715226607 -3.84400248576977 1.09552610841052 -3.50881869109169 0.000450101627399603 0.00385762996295197 0 0 NA NA NA 1
"ACADM" 4137.9044291493 -0.191336607485966 0.0864927340414411 -2.21216972276875 0.0269549400284314 0.103562335903832 35.4751876488995 -0.0417035989550857 0.250546977426087 -0.166450217773585 0.867802657031105 0.956849432400265
"ACADS" 1469.42578242588 0.201473393395231 0.102275793141042 1.96990301622391 0.0488494866979748 0.159699077759563 13.0046109447856 0.410630847421453 0.408977926733046 1.00404158899628 0.315358567873556 0.659125976274931
"ACADSB" 4017.6177636542 0.582986333241916 0.150382470541508 3.87669075486429 0.000105886800268846 0.00115684077221057 43.8797024248609 1.28142479107493 0.243079438621441 5.2716297122545 1.3521767209081e-07 5.73785516437977e-06
"ACADVL" 17069.9804316285 0.164240435056287 0.0775443132556544 2.11802037004062 0.0341733425756896 0.123784734173946 94.2096017615118 0.0266355738938279 0.160248665704016 0.166214013557058 0.867988531623868 0.956849432400265
"ACAN" 2.34216754476884 4.67972777512487 2.14436878946913 2.18233346712876 0.0290849307437992 1 0 0 NA NA NA 1
"ACAP1" 238.996885054448 0.148482980766104 0.271791472825097 0.546312138577122 0.584851393676711 0.782793467738384 1.25299956833966 -0.561680472717967 1.83378323390017 -0.306296001803528 0.759379283125247 1
"ACAP2" 2278.09152785873 0.0460267845453288 0.105585501486423 0.435919552375733 0.662895098547274 0.833011615121055 6.7487942031778 -0.412466166853246 0.586264777154603 -0.703549288523051 0.481713501730495 1
"ACAP3" 4586.33017649391 -0.0124197105196735 0.123107105871877 -0.100885407318399 0.919641427274615 0.970507485385847 8.12463190769281 0.151899236157927 0.511516557128789 0.29695859115599 0.766498123285283 0.924095868259827
"ACAT1" 6858.80446694818 0.352982021085013 0.083732259840061 4.2156036605157 2.49110931386034e-05 0.000334699087131177 64.3756680060861 0.226868374907431 0.187984513313942 1.20684609018058 0.227491422306021 0.562244984345307
